id,question,option 1,option 2,option 3,option 4,option 5,answer,explanation,category,Question_ID,Answer_ID,context_1,context_2,context_3,context_4,context_5
question 3256,How can UE power saving be enabled by relaxing measurements for RLM/BFD? [3GPP Release 17],By reducing PDCCH monitoring in connected mode,By reducing UE power consumption during synchronization,By reducing UE power consumption during idle/inactive mode,By reducing UE power consumption during RAR/MsgB window monitoring,By reducing UE power consumption during data scheduling,option 3: By reducing UE power consumption during idle/inactive mode,"UE power saving can be enabled by relaxing measurements for RLM/BFD, which helps reduce UE power consumption during idle/inactive mode.",Standards overview,3256,3,"

UE power saving can be enabled by UE relaxing measurements for RLM/BFD. When configured, UE determines whether its serving cell radio link quality is better than a threshold and, if criterion is configured, whether it is in low mobility state. The configuration for good serving cell quality criterion and, if included, low mobility criterion is provided through dedicated signalling.","

Enhancements for connected-mode UE power saving: Further PDCCH monitoring reduction, including enhanced search space set group (SSSG) switching and PDCCH skipping and Relaxation of UE measurements for RLM and/or BFD in connected mode","[8]	RP-220235, ""RAN3 CRs for UE power saving enhancements for NR"", RAN3",,
question 3259,What does SN-DU indicate in the UE CONTEXT SETUP RESPONSE message if SCG activation is requested? [3GPP Release 17],SCG deactivated,SCG activated,UE scheduling stopped,UE context released,Source cell group configuration,option 2: SCG activated,"If SCG activation is requested, the SN-DU shall indicate SCG activated in the UE CONTEXT SETUP RESPONSE message.",Standards specifications,3259,2,4>	perform SCG activation without SN message as specified in 5.3.5.13b1;,"3>	re-establish the RLC entity of SRB3 as specified in TS 38.322 [4].

5.3.5.13b1	SCG activation without SN message","5.3.5.13a	SCG activation	143

5.3.5.13b	SCG deactivation	143

5.3.5.13b1	SCG activation without SN message	144",,
question 3265,What is the definition of OTA Adjacent Channel Leakage Power Ratio (ACLR)? [3GPP Release 18],The measure of the difference between the actual SAN transmit frequency and the assigned frequency.,The difference between the power of an RE and the average RE power for a SAN at maximum output power.,The difference between the maximum and the minimum transmit power of an OFDM symbol for a specified reference condition.,The ratio of the filtered mean power centered on the assigned channel frequency to the filtered mean power centered on an adjacent channel frequency.,The difference between the DL RS power indicated on the DL-SCH and the DL RS power of each E-UTRA carrier within the OTA coverage range.,option 4: The ratio of the filtered mean power centered on the assigned channel frequency to the filtered mean power centered on an adjacent channel frequency.,OTA Adjacent Channel Leakage power Ratio (ACLR) is the ratio of the filtered mean power centered on the assigned channel frequency to the filtered mean power centered on an adjacent channel frequency.,Standards specifications,3265,4,"6.7.3	OTA Adjacent Channel Leakage Power Ratio (ACLR)

6.7.3.1	Definition and applicability","6.7.3	OTA Adjacent Channel Leakage Power Ratio (ACLR)

6.7.3.1	Definition and applicability","9.7.3	OTA Adjacent Channel Leakage Power Ratio (ACLR)

9.7.3.1	Definition and applicability","9.7.3	OTA Adjacent Channel Leakage Power Ratio (ACLR)

9.7.3.1	Definition and applicability","9.7.3	OTA Adjacent Channel Leakage Power Ratio (ACLR)	128

9.7.3.1	Definition and applicability	128"
question 3270,Which flow directions should have configurable absolute cyclic time boundaries for infrastructure dedicated to high performance Ethernet applications? [3GPP Release 19],DL direction only,UL direction only,DL and UL directions,IEEE 802.1Qbv,Routing based on Ethernet header information,option 3: DL and UL directions,Absolute cyclic time boundaries shall be configurable for flows in both DL direction and UL direction for infrastructure dedicated to high performance Ethernet applications.,Standards specifications,3270,3,"

For infrastructure dedicated to high performance Ethernet applications, absolute cyclic time boundaries shall be configurable for flows in DL direction and UL direction.","

For infrastructure dedicated to high performance Ethernet applications, the 3GPP system shall support enhancements for time-sensitive networking as defined by IEEE 802.1Q, e.g. time-aware scheduling with absolute cyclic time boundaries defined by IEEE 802.1Qbv [19], for 5G-based Ethernet links with PDU sessions type Ethernet.","

For infrastructure dedicated to high performance Ethernet applications, the 3GPP system shall support coexistence of hard-RT traffic following a time-aware schedule and lower priority traffic. The lower priority traffic cannot have a performance degrading impact on the hard-RT traffic.","[22]	3GPP TS 24.193: ""Access Traffic Steering, Switching and Splitting; Stage 3"".","[35]	3GPP TS 24.193: ""Access Traffic Steering, Switching and Splitting; Stage 3""."
question 3271,What should happen to the traffic on a cell in energy saving state? [3GPP Release 18],It should be drained to other cells before the cell moves to energySaving state,It should be doubled to increase coverage,It should be terminated to create a coverage hole,It should be redirected to a different frequency band,None of the above,option 1: It should be drained to other cells before the cell moves to energySaving state,"When a cell is in energy saving state, all traffic on that cell is expected to be drained to other overlaid/umbrella candidate cells before the cell moves to energySaving state.",Standards specifications,3271,1,"

For the scenarios where the capacity booster cell is fully or partially overlaid by the candidate cell(s), the key of energy saving solution is that 3GPP management system or NG-RAN node owning the capacity booster cell has the capability to autonomously decide to deactivate such capacity booster cell to lower energy consumption (in energySaving state) or activate the capacity booster cell in energySaving state back to notEnergySaving state due to the increasing traffic above the threshold. The cell activation/deactivation decision is typically based on the load information of the related cells and the energy saving policies (e.g. service related information as one kind of energy saving policies) set by operators.","

The Traffic Parameter Information applies to the power saving as specified in clause 5.37.8 of TS 23.501 [2]. The following parameters are included:","[18]           3GPP R1-2212154: ""Evaluations for network energy savings techniques"".","[35]	3GPP TS 24.193: ""Access Traffic Steering, Switching and Splitting; Stage 3"".","[35]	3GPP TS 24.193: ""Access Traffic Steering, Switching and Splitting; Stage 3""."
question 3273,What services can modify the originating network's caller identity information? [3GPP Release 17],IMS Multimedia Telephony service,OIP service and eCNAM service,Additional timing information services,User configuration services,,option 2: OIP service and eCNAM service,The OIP service and eCNAM service can modify the originating network's caller identity information based on terminating operator policy.,Standards specifications,3273,2,5.2.3.2.15	3gpp-Sbi-Originating-Network-Id,"Annex B (informative):
Assignment of Access Network Identities in 3GPP","Annex B (informative):	Assignment of Access Network Identities in 3GPP	153

B.1	Access Network Identities	153",Table 8.1.1.2-1: Access Network Identities in the context of non-3GPP access to EPC,Table 8.1.1.2-1: Access Network Identities in the context of non-3GPP access to EPC
question 3281,What is the purpose of CC5 in the 3GPP release 14? [3GPP Release 14],To support extended access burst formats,To improve coverage in downlink traffic channels,To increase the number of bits for channel estimation,To increase the number of physical layer transmissions,To improve coverage in uplink traffic channels,option 5: To improve coverage in uplink traffic channels,CC5 in 3GPP release 14 aims to improve coverage in uplink traffic channels.,Standards overview,3281,5,"3GPP

Release 14	6	3GPP TR 21.914 V14.0.0 (2018-05)

Foreword","Release 14	95	3GPP TR 21.914 V14.0.0 (2018-05)

720049	Charging Aspects of Enhanced Proximity-based CH14-ProSe	2 S5	SP-160428","3GPP

Release 14	95	3GPP TR 21.914 V14.0.0 (2018-05)","3GPP

Release 14	35	3GPP TR 21.914 V14.0.0 (2018-05)","3GPP

Release 14	25	3GPP TR 21.914 V14.0.0 (2018-05)"
question 3284,Which feature enhances the granularity of RSTD reporting? [3GPP Release 14],OTDOA enhancements in shared physical cell identity scenario,PRS based Beacon,PRS plus CRS measurement for OTDOA,Multipath Time of Arrival (ToA),Reduced quantization error,option 5: Reduced quantization error,"This feature improves the granularity of RSTD reporting, leading to improved positioning accuracy.",Standards specifications,3284,5,"[1] 3GPP TR 22.899, "" Study on Enhancements to User Location Reporting Support""","This Feature encompasses the following Work Items:

3GPP",,,
question 3294,What is the purpose of the IM-GSN in a GLR-equipped VPLMN? [3GPP Release 17],To handle location management of roaming subscribers,To relay messages between home network and serving MSC,To handle GTP signalling messages,To optimize signalling traffic between PLMNs,To provide IMS services,option 3: To handle GTP signalling messages,The purpose of the IM-GSN in a GLR-equipped VPLMN is to handle GTP signalling messages.,Standards specifications,3294,3,The procedures to set the link between the SGSN in the VPLMN and the GGSN in the HPLMN are described in 3GPP TS 23.060 [3].,"7.9.1.5	Generation of IRI over LI_HI2	277

7.10	LI in VPLMN for IMS-based services with home-routed roaming	277","7.10	LI in VPLMN for IMS-based services with home-routed roaming

7.10.1	Background","[3]	3GPP TS 33.328: ""IP Multimedia Subsystem (IMS) media plane security"".","[20]	3GPP TS 29.162: ""Interworking between the IM CN subsystem and IP networks ""."
question 3297,What is the impact of mobility between a 5G core network and an EPC (4G) on the user experience? [3GPP Release 15],Significant impact on the user experience,No impact on the user experience,Minimal impact on the user experience,Negative impact on the user experience,Neutral impact on the user experience,option 3: Minimal impact on the user experience,Mobility between a 5G core network and an EPC (4G) has minimal impact on the user experience.,Standards overview,3297,3,Figure 4.3.3.2-1: Local breakout roaming architecture for interworking between 5GC via non-3GPP access and EPC/E-UTRAN,Figure 4.3.4.2-1: Local breakout roaming architecture for interworking between ePDG/EPC and 5GS,Figure 4.3.2-1: Local breakout roaming architecture for interworking between 5GS and EPC/E-UTRAN,Figure 4.2.2-3: Local breakout roaming architecture for interworking between 5GS and EPC/E-UTRAN,Figure 4.1.3.1: Non-roaming architecture for interworking between 5GS and EPC/E-UTRAN
question 3309,Which specification defines Lawful Interception functionality? [3GPP Release 18],TS 22.261,TS 23.401,TS 24.501,TS 33.126,TS 38.300,option 4: TS 33.126,The definition and functionality of Lawful Interception are described in TS 33.126.,Standards specifications,3309,4,"

The present document has been produced by the 3GPP TSG SA to standardise Lawful Interception of telecommunications. The present document specifies the architecture and functions required to support Lawful Interception in 3GPP networks. Lawful Interception shall always be done in accordance with the applicable national or regional laws and technical regulations. Such national laws and regulations define the extent to which functional capabilities in the present document are applicable in specific jurisdictions.","[3]	3GPP TS 33.127: ""Lawful interception architecture and functions"".","

The present document specifies both the architectural and functional system requirements for Lawful Interception (LI) in 3GPP networks. The present document provides an LI architecture supporting both network layer based and service layer based Interception.","

The present document has been produced by the 3GPP TSG SA to standardise Lawful Interception of telecommunications. The present document describes protocols and procedures for Lawful Interception based on 3GPP specifications. These protocols and procedures cover both internal 3GPP interfaces (those required to intercept communications and manage interception within a 3GPP network) and external handover interfaces (those used for delivery of intercepted communications to Law Enforcement, or handling of warrants).","[1]	3GPP TR 21.905: ""Vocabulary for 3GPP Specifications"".

[2]	3GPP TS 33.126: ""Lawful Interception Requirements""."
question 3312,How can the lists of 3GPP PS Data Off Exempt Services be provided to the UEs? [3GPP Release 18],Through PCO during the inter-RAT mobility.,Through HPLMN via Device Management or UICC provisioning.,Through the ATSSS feature.,Through a specific standard defined in TS 23.503.,,option 2: Through HPLMN via Device Management or UICC provisioning.,The lists of 3GPP PS Data Off Exempt Services are provided to the UEs by HPLMN via Device Management or UICC provisioning.,Standards specifications,3312,2,"

A UE, which supports 3GPP PS data off (see 3GPP TS 23.401 [10]), can be configured with up to two lists of 3GPP PS data off exempt services as specified in 3GPP TS 24.368 [15A] or in the EF3GPPPSDATAOFF USIM file as specified in 3GPP TS 31.102 [17]:","

In case of PLMN, a UE, which supports 3GPP PS data off (see 3GPP TS 23.501 [8]), can be configured with up to two lists of 3GPP PS data off exempt services as specified in 3GPP TS 24.368 [17] or in the EF3GPPPSDATAOFF USIM file as specified in 3GPP TS 31.102 [22]:","

An MS, which supports 3GPP PS data off (see 3GPP TS 23.060 [74]), can be configured with up to two lists of 3GPP PS data off exempt services as specified in 3GPP TS 24.368 [135] or in the EF3GPPPSDATAOFF USIM file as specified in 3GPP TS 31.102 [112]:",3)	are associated with 3GPP PS data off exempt services configured in the UE using one or more of the following methods:,3)	are associated with 3GPP PS data off exempt services configured in the UE using one or more of the following methods:
question 3316,"In addition to 5G-based Ethernet links, what other ethernet transports should the 3GPP system support clock synchronization for high performance Ethernet applications? [3GPP Release 19]",Coexistence of hard-RT and lower priority traffic,Time-sensitive networking defined by IEEE 802.1Q,IEEE 802.1AS,Wired and optical (EPON),Routing based on Ethernet header information,option 4: Wired and optical (EPON),The 3GPP system should support clock synchronization defined by IEEE 802.1AS across 5G-based Ethernet links and other ethernet transports such as wired and optical (EPON) for high performance Ethernet applications.,Standards specifications,3316,4,"

For infrastructure dedicated to high performance Ethernet applications, the 3GPP system shall support clock synchronisation defined by IEEE 802.1AS across 5G-based Ethernet links and other ethernet transports such as wired and optical (EPON.)","

For infrastructure dedicated to high performance Ethernet applications, the 3GPP system shall support clock synchronisation defined by IEEE 802.1AS across 5G-based Ethernet links with PDU-session type Ethernet.","

For infrastructure dedicated to high performance Ethernet applications, the 3GPP system shall support enhancements for time-sensitive networking as defined by IEEE 802.1Q, e.g. time-aware scheduling with absolute cyclic time boundaries defined by IEEE 802.1Qbv [19], for 5G-based Ethernet links with PDU sessions type Ethernet.","

For infrastructure dedicated to high performance Ethernet applications, the 3GPP system shall support coexistence of hard-RT traffic following a time-aware schedule and lower priority traffic. The lower priority traffic cannot have a performance degrading impact on the hard-RT traffic.","

An essential requirement specifies: ""The 5G system shall support clock synchronization (e.g. IEEE 802.1AS) through the 5G network if the sync master and the sync devices are served by different UEs"". See Figure 1. The flow of clock synchronization messages is in either direction, UL and DL, and can contain two wireless links on its path. "
question 3318,What is the purpose of the NotificationMessageSidelink message? [3GPP Release 17],To request UE sidelink capabilities,To include the system information transmitted by a UE via SL-BCH,To indicate the failure of a PC5 RRC AS reconfiguration,To include sidelink DRX assistance information used to determine the sidelink DRX configuration,To send notification message from U2N Relay UE to the connected U2N Remote UE,option 5: To send notification message from U2N Relay UE to the connected U2N Remote UE,The purpose of the NotificationMessageSidelink message is to send notification message from U2N Relay UE to the connected U2N Remote UE.,Standards specifications,3318,5,"

The NotificationMessageSidelink message is used to send notification message from U2N Relay UE to the connected U2N Remote UE or from U2U Relay UE to the connected U2U Remote UE.",5.8.9.10.3	Actions related to transmission of NotificationMessageSidelink message,5.8.9.10.4	Actions related to reception of NotificationMessageSidelink message,–	NotificationMessageSidelink,"notificationMessageSidelink-r17 NotificationMessageSidelink-r17,"
question 3319,How does a UE determine the number of repetitions and MCS for a PUSCH transmission scheduled by a RAR UL grant? [3GPP Release 17],By the number of RBs in the initial UL BWP,By the SCS for the PUSCH transmission,By the MCS field in the RAR UL grant,By the PUSCH repetition type,,option 3: By the MCS field in the RAR UL grant,The UE determines the number of repetitions and MCS for a PUSCH transmission by the 2 MSBs of the MCS field in the RAR UL grant.,Standards specifications,3319,3,"

Up to 16 repetitions is introduced for a Msg3 PUSCH transmission scheduled by RAR UL grant or DCI format 0_0 with CRC scrambled by TC-RNTI. This is beneficial to enhance the coverage on both NUL and SUL. After carrier selection and BWP selection during the RACH initialization procedure, a UE requests repetition of Msg3 PUSCH scheduled by RAR UL grant via separate PRACH resource when the RSRP of DL path-loss reference fulfils a configured threshold. If requested by the UE, gNB decides whether or not to schedule repetition of the Msg3 PUSCH transmission. If scheduled, the number of repetitions N is indicated by the 2 MSBs of the MCS field in the RAR UL grant or in the DCI format 0_0; and the MCS index used for the PUSCH transmission is indicated by the 2 LSBs of the MCS field in the RAR UL grant or by the 3 LSBs of the MCS field in the DCI format 0_0. The Msg3 PUSCH transmission is performed over N slots, which is counted based on available slots. Only inter-slot frequency hopping is supported if N>1 is indicated for the PUSCH transmission. ","

DMRS bundling to enable improved channel estimation is introduced for PUSCH repetition Type A scheduled by DCI format 0_1 or 0_2, for PUSCH repetition Type A with configured grant, for PUSCH repetition Type B, for TB processing over multiple slots PUSCH and for PUCCH repetitions of PUCCH formats 1, 3, and 4. A UE can report the maximum duration, in number of consecutives slots, during which the UE is able to maintain power consistency and phase continuity under certain tolerance level. With the duration of the nominal TDWs (Time Domain Windows), not longer than the maximum duration, configured by gNB, one or multiple nominal TDWs can be determined for PUSCH transmissions or PUCCH repetitions. A nominal TDW consists of one or multiple actual TDWs. Events, which cause power consistency and phase continuity not to be maintained across PUSCH transmissions or PUCCH repetitions within the nominal TDW, are defined. An actual TDW is terminated in case an event occurs. A new actual TDW is created in response to semi-static events not triggered by DCI or MAC-CE. Whether a new actual TDW is created in response to dynamic events triggered by DCI is subject to UE capability. Frequency hopping and UL beam switching for multi-TRP operation are regarded as semi-static events. The UE shall maintain power consistency and phase continuity within an actual TDW across PUSCH transmissions or PUCCH repetitions.",,,
question 3336,What is the purpose of the Nmfaf_3caDataManagement_Fetch service operation? [3GPP Release 18],To configure the MFAF to map data or analytics received by the MFAF to out-bound notification endpoints,To configure the MFAF to stop mapping data or analytics received by the MFAF to out-bound notification endpoints,To supply data or analytics from the MFAF to notification endpoints,To fetch data or analytics from the MFAF based on fetch instructions,,option 4: To fetch data or analytics from the MFAF based on fetch instructions,The Nmfaf_3caDataManagement_Fetch service operation is used by the consumer to retrieve data or analytics from the MFAF based on fetch instructions.,Standards specifications,3336,4,"

15.	The Data Consumer invokes the Nmfaf_3caDataManagement_Fetch service operation by sending an HTTP GET request message as described in clause 4.2.2.5 of 3GPP TS 29.574 [15] to fetch the data from the DCCF before an expiry time, if the fetch instruction was received in Nmfaf_3caDataManagement_Notify service operation in step 13.","

The Nmfaf_3caDataManagement_Fetch service operation allows consumer to retrieves data or analytics from the MFAF as indicated by Nmfaf_3caDataManagement_Notify Fetch Instruction.",Service operation name: Nmfaf_3caDataManagement_Fetch,"

The Nmfaf_3caDataManagement service as defined in 3GPP TS 23.288 [14], is provided by the Messaging Framework Adaptor Function (MFAF).","4.3.2.2	Nmfaf_3caDataManagement_Fetch service operation

4.3.2.2.1	General"
question 3342,In which case is the HARQ-ACK message transmitted on PUCCH? [3GPP Release 17],When the first uplink symbol of the PUCCH starts no earlier than at symbol L1,When the PUCCH resource is overlapping with another PUCCH or PUSCH resource,When the UE is configured with multiple active component carriers,When the PDSCH DM-RS position for the additional DM-RS is 0,When the uplink switching gap is triggered for the PUCCH,option 2: When the PUCCH resource is overlapping with another PUCCH or PUSCH resource,"If the PUCCH resource is overlapping with another PUCCH or PUSCH resource, then the HARQ-ACK is multiplexed following a certain procedure. Otherwise, the HARQ-ACK message is transmitted on PUCCH.",Standards specifications,3342,2,"-- end of enhanced Type3 feedback

    -- start of triggering of HARQ-ACK re-transmission on a PUCCH resource","-- end of triggering of HARQ-ACK re-transmission on a PUCCH resource

    -- start of PUCCH Cell switching",-- R1 11-3: More than one PUCCH for HARQ-ACK transmission within a slot,"

    -- R1 11-3g: SR/HARQ-ACK multiplexing once per subslot using a PUCCH (or HARQ-ACK piggybacked on a PUSCH) when SR/HARQ-ACK",-- 10-36 (4-28): HARQ-ACK multiplexing on PUSCH with different PUCCH/PUSCH starting OFDM symbols for unlicensed spectrum
question 3349,What does TsteeringWLAN represent? [3GPP Release 17],The timer value during which the rules should be fulfilled for traffic steering between E-UTRAN and WLAN.,The RSRP threshold for traffic steering from WLAN to E-UTRAN.,The WLAN channel utilization threshold used by the UE for traffic steering.,The WLAN RSSI threshold used by the UE for traffic steering from WLAN to E-UTRAN.,The backhaul available uplink bandwidth threshold used by the UE for traffic steering from E-UTRAN to WLAN.,option 1: The timer value during which the rules should be fulfilled for traffic steering between E-UTRAN and WLAN.,TsteeringWLAN specifies the timer value during which the rules for traffic steering between E-UTRAN and WLAN should be fulfilled.,Standards specifications,3349,1,"It is defined in 3GPP TS 29.336 [5]

6.4.17	Bearer-Identifier","

The following text captures the solution by describing the neccesary 3GPP TS 23.558 changes (relative to v17.1.0 in bold font)  as shown below:","3GPP TS 26.114 V18.5.0 (2023-12)

Technical Specification","the 3GPP specification number in the format ""TSxxyyy"";

an ""_"" character;","the 3GPP specification number in the format ""Tsxxyyy"";

an ""_"" character;"
question 3352,How does the UE determine the p0-PUCCH-Value value if it is not provided any of pdsch-HARQ-ACK-Codebook? [3GPP Release 17],From the pathlossReferenceRSs value,From the pucch-PathlossReferenceRS-Id value,From the p0-Set value,From the pucch-PowerControl value,From the p0-nominal value,option 3: From the p0-Set value,"If the UE is not provided PUCCH-SpatialRelationInfo and is not provided more than one sets of power control parameters for operation in FR1, the UE obtains the p0-PUCCH-Value value from the P0-PUCCH with p0-PUCCH-Id value equal to the minimum p0-PUCCH-Id value in p0-Set.",Standards specifications,3352,3,"

A UE determines  HARQ-ACK information bits, for a total number of  HARQ-ACK information bits, of a HARQ-ACK codebook for transmission in a PUCCH according to the following pseudo-code. In the following pseudo-code, if the UE does not receive a transport block or a CBG, due to the UE not detecting a corresponding DCI format, the UE generates a NACK value for the transport block or the CBG. The cardinality of the set  defines a total number  of occasions for PDSCH reception or SPS PDSCH release or TCI state update for serving cell  corresponding to the HARQ-ACK information bits.","

If the UE is provided more than one sets of power control parameters for operation in FR1, and the UE receives an activation command [11, TS 38.321] indicating one or two of the more than one sets of power control parameters, the UE determines p0-PUCCH-Value value according to the corresponding one or two sets of power control parameters. The UE applies the activation command in the first slot that is after slot  where  is the slot where the UE would transmit a PUCCH with HARQ-ACK","

If a UE detects a DCI format that includes a One-shot HARQ-ACK request field with value 1, the UE determines a PUCCH or a PUSCH to multiplex a Type-3 HARQ-ACK codebook for transmission in a slot as described in clauses 9.2.3 and 9.2.5. If the UE is provided a periodic cell switching pattern for PUCCH transmissions by pucch-sSCellPattern, the UE determines the slot and a corresponding cell based on the periodic cell switching pattern as described in clause 9.A. The UE multiplexes only the Type-3 HARQ-ACK codebook in the PUCCH or the PUSCH for ","

In response to a PUSCH transmission scheduled by a RAR UL grant when a UE has not been provided a C-RNTI, the UE attempts to detect a DCI format 1_0 with CRC scrambled by a corresponding TC-RNTI scheduling a PDSCH that includes a UE contention resolution identity [11, TS 38.321]. In response to the PDSCH reception with the UE contention resolution identity, the UE transmits HARQ-ACK information in a PUCCH. The PUCCH transmission is within a same active UL BWP as the PUSCH transmission. A minimum time between the last symbol of the PDSCH reception and the first symbol of the corresponding PUCCH transmission with the HARQ-ACK information is equal to  msec.  is a time duration of  symbols corresponding to a PDSCH processing time for UE ","

the UE does not expect that the PDSCH-to-HARQ_feedback timing indicator field of the DCI format provides an inapplicable value from dl-DataToUL-ACK-r16 or dl-DataToUL-ACK-r17"
question 3358,What does TSC stand for in the context of integration with IEEE TSN? [3GPP Release 16],Transport Service Capability,Traffic Support Coordination,Time-Synchronized Control,Time-Sensitive Communication,,option 4: Time-Sensitive Communication,TSC stands for Time-Sensitive Communication in the context of integration with IEEE TSN.,Standards overview,3358,4,Integration with IEEE TSN,,,,
question 3367,"Does a UE support a secure mechanism for the home operator to disallow selection of one or more of its radio technologies, regardless of PLMNs? [3GPP Release 18]",Yes,No,,,,option 1: Yes,"A UE supports a secure mechanism for the home operator to disallow selection of one or more of its radio technologies, regardless of PLMNs.",Standards specifications,3367,1,"A UE shall support a secure mechanism for the home operator to disallow selection of one or more of the UE’s radio technologies for access to a radio access network, regardless of PLMNs. Radio technologies that individually can be disallowed are at least GSM/EDGE, WCDMA, E-UTRA, and NR.","

A UE shall support a secure mechanism for the home operator to re-allow selection of one or more of the UE’s radio technologies for access to a radio access network, regardless of PLMNs. Radio technologies that individually can be re-allowed are at least GSM/EDGE, WCDMA, E-UTRA, and NR. The home operator can only re-allow a radio technology that the home operator has previously disallowed.","

iv)	other PLMN/access technology combinations with sufficient received signal quality (see 3GPP TS 23.122 [3]) in random order. It shall be possible to configure a voice capable UE so that it shall not attempt registration on a PLMN if all cells identified as belonging to the PLMN do not support the corresponding voice service;",until the UE selects a non-equivalent PLMN over non-3GPP access; and,until the UE selects a non-equivalent PLMN over non-3GPP access; and
question 3377,"Under high network load conditions, how does the network protect itself? [3GPP Release 18]",By restricting access attempts from UEs,By increasing resource allocation,By encrypting all data traffic,By prioritizing certain services,By disabling identification and authentication,option 1: By restricting access attempts from UEs,"Under high network load conditions, the network may protect itself by using Unified Access Control functionality to limit access attempts from UEs.",Standards specifications,3377,1,Figure 6.43.2.1-1: Network-based solution for keeping EC traffic on 3GPP Access,"6.43	Solution 43 (KI#6): Network-based solution for keeping EC traffic on 3GPP Access

6.43.1	Description","threats and critical assets 

in 3GPP network product classes

(Release 18)","Security aspects of non-3GPP accesses

(Release 18)",4.10	Security baseline for 3GPP virtualized network products
question 3385,How are charges for roaming traffic settled between operators? [3GPP Release 18],By means of the GSM Association's Transferred Account Procedure (TAP),Through credit pooling and balance management,Based on the charges calculated for home subscribers,By exchanging TAP records with each HPLMN,By performing bulk settlement with fixed network operators,option 1: By means of the GSM Association's Transferred Account Procedure (TAP),Inter-PLMN accounts for roaming traffic are determined in accordance with ITU-T principles and settled by means of the GSM Association's Transferred Account Procedure (TAP).,Standards specifications,3385,1,"

The network shall be able to apply volume-base charging to a subscriber regardless of whether the subscriber’s traffic has been offloaded from the mobile operator’s network as described in 3GPP TS 22.101 [1]. ","

It is a requirement that users shall be able to obtain service and use chargeable services with networks with whom neither they nor their home environment have any direct commercial agreement. This shall be enabled by interworking via trusted third parties. Each Home Environment shall interwork with one or more serving network operators, with whom they would negotiate a commercial roaming agreement and test the interworking. Any user wishing to use the services of a particular serving network would register with that serving network, that would either directly or indirectly interwork with the home environment. Fraud and cost control mechanisms shall be used to ensure that charges incurred for 3GPP services do not exceed the credit limits set. This can be applied for the user and the other roles involved in commercial dealings. In practice, any serving network shall be capable of operating as a roaming broker.","

In addition, the network operators have to charge each other for the use of their networks by roaming users. The methods of charging between operators may be different from the methods used to charge the user. For example, a user may be charged by duration for voice sessions made while roaming but the home network may pay the visited network by volume of data used. Based on preconfiguration or indication from the home network, the serving network may be aware that charging information per individual subscription is not needed. In that case the serving network may omit detailed collection of chargeable events per individual subscription and instead base roaming charging of the home network on optimised collection of chargeable events.",Figure 6.17.3-1: Procedure for enabling traffic switching between two non-3GPP access paths,"

It shall be possible for a network operator to charge its users for activities while roaming so that the home network will get the capability to raise service charges depending on the roamed to network, e.g. because of inter operator charges for the use of service capabilities within the visited network which will in general depend on the serving network. The ability to supply all the necessary information for all the charging options will depend on the capability of the visited network. For service capabilities which are provided by the home network, however, it is required that the charging information is collected to allow to identify the serving network of the served subscriber;"
question 3387,How does the NWDAF collect input information for PDU Session traffic analytics? [3GPP Release 18],By querying the SMF for input data.,By querying the UPF for input data.,By subscribing to UPF event exposure and collecting data indirectly via the SMF or directly from the UPF.,By monitoring the location of UEs where PDU Session traffic is analyzed.,,option 3: By subscribing to UPF event exposure and collecting data indirectly via the SMF or directly from the UPF.,The NWDAF collects input information for PDU Session traffic analytics by subscribing to UPF event exposure and collecting data indirectly via the SMF or directly from the UPF.,Standards specifications,3387,3,"

Enhanced Observed Service Experience analytics: the NWDAF provides enhanced Observed Service Experience that including the 3GPP Access performance, the non-3GPP performance and the multi-Access performance, see clause 6.48.3 of this paper for detailed outputs. According to these analytics, the PCF can decide the better access type (3GPP access or non-3GPP access) in RSD of PDU session for a specific Traffic Descriptor.","

1.	The Consumer NF (e.g. the PCF) requests or subscribes to the NWDAF to request PDU Session Traffic analytics. The consumer includes within analytics filter the expected traffic via a PDU session according to the Traffic Descriptors and the SUPI or list of SUPIs, the S-NSSAI and DNN of the PDU session. It is assumed that there are associated Packet Detection Rule(s) for the expected traffic listed in the analytics request, i.e. the expected traffic is known.",NWDAF collects input data on the number of PDU Sessions established in a S-NSSAI using one of the following options:,Figure 6.20.4-1: NWDAF providing PDU Session traffic analytics,supports taking analytics information for PDU Session traffic from the NWDAF.
question 3388,What is the purpose of the N2 interface in 5G-AN and 5G Core? [3GPP Release 18],To manage the N2 interface configuration,To manage NAS transport procedures,To manage resources for PDU Sessions,To manage handover procedures,To manage the connection of multiple types of 5G-AN to the 5GC,option 5: To manage the connection of multiple types of 5G-AN to the 5GC,The N2 interface in 5G-AN and 5G Core is used to connect multiple different kinds of 5G-AN to the 5GC via a unique Control Plane protocol.,Standards specifications,3388,5,"

N2 is the reference point between the AMF and the 5G-AN. It is used, among other things, to carry NAS signalling traffic between the UE and the AMF over 3GPP and non-3GPP accesses.","Access to the 3GPP 5G Core Network (5GCN)
via Non-3GPP Access Networks (N3AN);

Stage 3

(Release 18)",Termination of N2 and N3 interfaces to 5G Core Network for control - plane and user-plane respectively.,Termination of N2 and N3 interfaces to 5G Core Network for control - plane and user-plane respectively.,"

N2 SM information received from the target 5G-AN (see Path Switch Request Transfer IE in clause 9.3.4.8 of 3GPP TS 38.413 [9]);"
