id,question,option 1,option 2,option 3,option 4,option 5,answer,explanation,category,Question_ID,Answer_ID,context_1
question 4837,Is it possible for more than one LCS client to activate requests for the same target UE? [3GPP Release 17],Only for asset management services,"No, it is not possible",Only in emergency scenarios,Only if requested by the PLMN operator,"Yes, it is possible","option 5: Yes, it is possible",It is possible for more than one LCS client to activate requests for the same target UE.,Standards specifications,4837,5,"LCS Client/AF priority and any other relevant priority information (e.g. UE subscription preferences) should be considered when rejecting or deferring a concurrent request or when cancelling one or more existing requests. In particular, location requests associated with emergency services or lawful interception clients should be given priority over other location requests.

5.7.2	Combining location requests by an H-GMLC or NEF

An H-GMLC or NEF may combine concurrent location requests (e.g. 5GC-MT LR, 5GC-MO LR, 5GC-NI LR) for the same target UE by executing only one request and using the ensuing location estimate result(s) to satisfy the other request(s). The conditions for this are as follows:

the H-GMLC must be able to fully resolve privacy requirements for the other location request(s) without requiring notification or verification by the UE (though notification only as in steps 17-23 of clause 6.1.2 could still be used in the case of location dependent privacy); and"
question 4840,What is the distribution of the shadow fading? [3GPP Release 17],Uniform,Exponential,Log-normal,Gaussian,,option 3: Log-normal,The distribution of the shadow fading is log-normal.,Standards specifications,4840,3,"Tap # Delay (ns) Power (dB) Fading distribution 1 0 -15.5 2 10 0 3 15 -5.1 4 20 -5.1 5 25 -9.6 6 50 -8.2 Rayleigh 7 65 -13.1 8 75 -11.5 9 105 -11.0 10 135 -16.2 11 150 -16.6 12 290 -26.2

Table I.2.2.2-3: TDLB100 (DS = 100ns)"
question 4850,What is the purpose of the Session-AMBR? [3GPP Release 18],To limit the aggregate bit rate of GBR flows,To limit the aggregate bit rate of non-GBR flows,To limit the aggregate bit rate across all non-GBR flows in a PDU session,To limit the aggregate bit rate of all QoS flows in a PDU session,,option 3: To limit the aggregate bit rate across all non-GBR flows in a PDU session,The Session-AMBR limits the aggregate bit rate of non-GBR flows in a specific PDU session.,Standards specifications,4850,3,"9.11.4.14	Session-AMBR

The purpose of the Session-AMBR information element is to indicate the initial subscribed PDU session aggregate maximum bit rate when the UE establishes a PDU session or to indicate the new subscribed PDU session aggregate maximum bit rate if it is changed by the network.

The Session-AMBR information element is coded as shown in figure 9.11.4.14.1 and table 9.11.4.14.1.

The Session-AMBR is a type 4 information element with a length of 8 octets.

8 7 6 5 4 3 2 1 Session-AMBR IEI octet 1 Length of Session-AMBR contents octet 2 Unit for Session-AMBR for downlink octet 3 Session-AMBR for downlink octet 4-5 Unit for Session-AMBR for uplink octet 6 Session-AMBR for uplink octet 7-8

Figure 9.11.4.14.1: Session-AMBR information element

Table 9.11.4.14.1: Session-AMBR information element"
question 4856,What does the TSCTSF do if a PTP instance does not exist for a matching PTP instance configuration? [3GPP Release 18],Configures a PTP port in DS-TT,Activates or modifies the 5G access stratum time distribution,Initializes the PTP instance in 5GS,Stores the information in the UE Context,Releases the AF-session with the PCF,option 3: Initializes the PTP instance in 5GS,"If a PTP instance does not exist for a matching PTP instance configuration, the TSCTSF initializes the PTP instance in 5GS.",Standards specifications,4856,3,"5.	For each matching PTP instance configuration determined in step 4, if no PTP instance exists for the given PTP instance configuration, the TSCTSF initializes the PTP instance in 5GS as described in clause K.2.2 of TS 23.501 [2]. The TSCTSF configures a PTP port in DS-TT and adds it to the corresponding PTP instance in NW-TT as described in clause K.2.2 of TS 23.501 [2]. The TSCTSF uses the procedure in clause 4.15.9.4 to activate or modify the 5G access stratum time distribution for the UE.

	If the PTP instance configuration referenced by the Time Synchronization Subscription data for the UE contains start and stop times or a coverage area, the TSCTSF updates the PTP port for the corresponding PTP instance as defined in clause 5.27.1.11 of TS 23.501 [2]. The TSCTSF uses the procedure in clause 4.15.9.4 to activate or deactivate the 5G access stratum time distribution for the UEs that are part of the impacted PTP instance."
question 4864,Which services can support Data Collection Coordination and Delivery? [3GPP Release 18],Ndccf_DataManagement,Nnwdaf_DataManagement,Nmfaf_3daDataManagement,Nmfaf_3caDataManagement,All of the above,option 5: All of the above,Data Collection Coordination and Delivery can be supported by a DCCF via Ndccf_DataManagement service or by an NWDAF via Nnwdaf_DataManagement service. It can also use Nmfaf_3daDataManagement and Nmfaf_3caDataManagement services when using a Messaging Framework.,Standards specifications,4864,5,"[14]	3GPP TS 23.288: ""Architecture enhancements for 5G System (5GS) to support network data analytics services""

[15]	3GPP TS 29.574: ""5G System; Data Collection Coordination Services; Stage 3"".

[16]	Void.

[17]	Void.

[18]	Void.



[19]	Void."
question 4871,When is the SDT procedure initiated? [3GPP Release 18],When the network sends an RRCReject message.,When the DL RSRP is below a configured threshold.,When there is no valid SDT resource available.,When the UE is in RRC_CONNECTED state.,When there is a configured amount of UL data awaiting transmission across all radio bearers for which SDT is enabled.,option 5: When there is a configured amount of UL data awaiting transmission across all radio bearers for which SDT is enabled.,The SDT procedure is initiated by the UE only if there is less than a configured amount of UL data awaiting transmission across all enabled radio bearers.,Standards specifications,4871,5,Figure 6.6/3GPP TS 24.008: Network initiated PDP context modification procedure
question 4873,What type of uncertainty assessment is performed for the measurement uncertainty budget of UE RF testing methodology? [3GPP Release 18],Static propagation conditions,Multi-path fading propagation conditions,Uncertainty assessment,Polarization basis mismatch between the TE and DUT,Inter-band (FR2+FR2) CA,option 3: Uncertainty assessment,The measurement uncertainty budget of UE RF testing methodology undergoes an uncertainty assessment.,Standards specifications,4873,3,"Additionally, the preliminary measurement uncertainty budget is specified in the document and the final MU will be further discussed and decided by RAN5.



Annex A:
Measurement uncertainty

A.1	Measurement uncertainty budget for UE RF testing methodology

Similar as legacy FR2 UE RF testing methodology, the uncertainty tables shall be presented with two stages:

Stage 1: the calibration of the absolute level of the DUT measurement results is performed by means of using a calibration antenna whose absolute gain is known at the frequencies of measurement

Stage 2: the actual measurement with the DUT as either the transmitter or receiver is performed."
question 4881,Which of the following is NOT supported by PDCP packet duplication? [3GPP Release 15],Signalling Radio Bearers (SRBs) using RLC AM,Data Radio Bearers (DRBs) using RLC UM,Data Radio Bearers (DRBs) using RLC AM,Carrier Aggregation (CA) scenarios,Dual Connectivity (DC) scenarios,option 3: Data Radio Bearers (DRBs) using RLC AM,"The document states that PDCP packet duplication is supported for Signalling Radio Bearers (SRBs) using RLC AM and Data Radio Bearers (DRBs) using RLC UM or AM, but not for Data Radio Bearers (DRBs) using RLC AM.",Standards overview,4881,3,"In case of Carrier Aggregation (CA) or in case of Dual Connectivity (DC), PDCP (Packet Data Convergence Protocol) packet duplication can be applied to improve the overall reliability for downlink and possibly for uplink depending on UE power limitation. PDCP packet duplication is configured for a radio bearer by RRC where two logical channels are configured for the radio bearer. The two logical channels can either belong to the same MAC entity (CA case) or different MAC entities (DC case). When activated, PDCP packet duplication allows sending the same PDCP Protocol Data Unit (PDU) on two independent transmission paths: via the primary RLC entity and a secondary RLC entity, thereby increasing reliability.

PDCP packet duplication is supported in the following cases:

for Signalling Radio Bearers (SRBs) using RLC AM.

for Data Radio Bearers (DRBs) using RLC UM or AM."
question 4893,What is the role of Management Data Analytics Service (MDAS) in the MDA? [3GPP Release 17],To provide analytics output,To process and analyze data,To consume data from AFs,To enable resource provisioning,,option 1: To provide analytics output,MDAS is the producer that provides the analytics output requested by consumers.,Standards specifications,4893,1,"Management data from non-3GPP systems.

Analytics output from the MDA internal business logic are made available by the management functions (MDAFs) playing the role of MDA MnS producers to the authorized consumers, (including but not limited to other management functions, network functions/entities, NWDAF, SON functions, optimization tools and human operators).

The analytics provided by MDAS include analytics for fault management predictions/statistics. The MDA can supervise the status of various network functions and resources, and predict the running trend of network and potential failures to intervene in advance. These predictions can be used by the management system to autonomously maintain the health of the network, e.g. speedy recovery actions on a network function related to the predicted potential failure.

As part of the analytic output the following information elements can be provided by the MDAF.



Table 6.72.1-1: Analytics output for fault prediction analysis (source TS 28.104 [15])"
question 4903,Which uncertainty element is applicable to the CFFdeltaNF methodology? [3GPP Release 18],DUT antenna location estimation,Probe antenna pattern,EIRP measurement error in NF,TRP measurement error in NF,Influence of noise,option 5: Influence of noise,The uncertainty element that is applicable to the CFFdeltaNF methodology is Influence of noise.,Standards specifications,4903,5,"This contribution originates from relative power measurement uncertainties at different radii when applied to the asymptotic expansion transformation. This uncertainty is assumed to have a Gaussian distribution. This MU element is applicable to the CFFNF methodology. 

Additional background: This MU element was analysed in Clause 5.1.4.7.

B.1.1.2.7	Influence of noise

This contributor describes an offset uncertainty factor caused by a noise floor especially in a case of low SNR. This contributor works as a bias to measured results only to a direction to increase values and thus this shall be included in the uncertainty budget table as a systematic uncertainty. The uncertainty value can be derived by the following equation for CFFDNF and CFFdeltaNF."
question 4906,What options are available for deploying non-public networks? [3GPP Release 17],Completely standalone networks,Hosted by a PLMN,Offered as a slice of a PLMN,All of the above,None of the above,option 4: All of the above,"Non-public networks can be deployed as completely standalone networks, hosted by a PLMN, or offered as a slice of a PLMN.",Standards specifications,4906,4,The support of non-public networks (NPN) was introduced in Rel-16 by the WI Vertical_LAN with UID 830042. Deployments of NPN to provide coverage within a specific geographic area for non-public use is a key demand of emerging 5G applications and verticals.
question 4908,When should a UE adjust the contention window size and the backoff counter for Type 1 channel access procedures? [3GPP Release 17],After sensing the channel to be busy,After receiving an UL grant or an AUL-DFI with DCI format 0A,After receiving an UL grant or an AUL-DFI with DCI format 1A,After transmitting a PUCCH transmission,After transmitting a PUSCH transmission,option 2: After receiving an UL grant or an AUL-DFI with DCI format 0A,A UE should adjust the contention window size and the backoff counter for Type 1 channel access procedures after receiving an UL grant or an AUL-DFI with DCI format 0A.,Standards specifications,4908,2,"Set XIII 16.8.0 03/2022 RP-95 RP-220506 2459 2 D Inclusive Language Review for TS 38.331 17.0.0 RP-95 RP-220499 2465 2 C Remove the maximum number of MIMO layers restrictions for SUL 17.0.0 RP-95 RP-220486 2811 5 B Introducing Enhancements to Integrated Access and Backhaul for NR 17.0.0 RP-95 RP-220837 2846 1 B Introduction of mobility-state-based cell reselection for NR HSDN [NR_HSDN] 17.0.0 RP-95 RP-220492 2865 2 B Introducing Enhancement of Data Collection for SON and MDT 17.0.0 RP-95 RP-220477 2878 1 B Introduction of NR dynamic spectrum sharing 17.0.0 RP-95 RP-220837 2883 1 B Introduction of MINT [MINT] 17.0.0 RP-95 RP-220481 2887 1 B Introduction of enhanced IIoT&URLLC support for NR 17.0.0 RP-95 RP-220472 2889 1 F Correction on PO determination for UE in inactive state 17.0.0 RP-95 RP-220475 2891 2 B Extending NR operation to 71 GHz 17.0.0 RP-95 RP-220500 2893 1 B Introduction of FR2 UL gap for Rel-17 17.0.0 RP-95 RP-220497 2898 2 B Introduction of function for RRM enhancements for Rel-17 NR FR1 HST 17.0.0 RP-95 RP-220838 2901 1 B Release-17 UE capabilities based on R1 and R4 feature lists (TS38.331) 17.0.0 RP-95 RP-220476 2902 1 B RRC CR for NR Sidelink enhancement 17.0.0 RP-95 RP-220495 2904 1 B Introducing support of UP IP for EPC connected architectures using NR PDCP 17.0.0 RP-95 RP-220499 2909 1 B RRC configuration for R17 UL Tx switching enhancement 17.0.0 RP-95 RP-220491 2910 2 B Introduction of SL relay 17.0.0 RP-95 RP-220502 2913 2 B Introduction of RRC signaling for measurement gap enhancement 17.0.0 RP-95 RP-220488 2919 1 B Introduction of NR RRC support for MUSIM 17.0.0 RP-95 RP-220490 2921 1 B NR RRC CR for RAN slicing 17.0.0 RP-95 RP-220474 2923 1 B Introduction of Release-17 feMIMO 17.0.0 RP-95 RP-220961 2924 3 B Introduction of ePowSav in TS 38.331 17.0.0 RP-95 RP-220493 2925 1 B Introducing NPN enhancements: Credentials Holder, UE Onboarding, and IMS emergency support in SNPNs 17.0.0 RP-95 RP-220489 2927 - B Introduction of the support for UDC in NR 17.0.0 RP-95 RP-220478 2928 2 B Introduction of NR coverage enhancements in RRC 17.0.0 RP-95 RP-220482 2930 2 B Introduction of Release-17 NTN 17.0.0 RP-95 RP-220498 2933 1 B HST on FR2 17.0.0 RP-95 RP-220487 2937 1 B Introduction of SDT 17.0.0 RP-95 RP-220496 2940 1 B Introduction of DL 1024 QAM in NR 17.0.0 RP-95 RP-220484 2949 1 B Introduction of NR MBS into 38.331 17.0.0 RP-95 RP-220836 2950 2 B Introduction of RedCap 17.0.0 RP-95 RP-220487 2951 1 B Introduction of Common RACH Partitioning Aspects 17.0.0 RP-95 RP-220479 2952 3 B Introduction of Enhanced Positioning feature 17.0.0 RP-95 RP-220853 2953 2 B Explicit Indication of SI Scheduling window position [SI-SCHEDULING] 17.0.0 RP-95 RP-220485 2954 2 B Introduction of further multi-RAT dual-connectivity enhancements 17.0.0 RP-95 RP-220494 2958 2 B Introduction of QoE measurements in NR 17.0.0 06/2022 RP-96 RP-221736 2872 5 B Early Measurements for EPS fallback [IdleMeaEPSFB] 17.1.0 RP-96 RP-221721 2916 2 B CR on the CBM/IBM reporting-38331 17.1.0 RP-96 RP-221756 2998 2 B Release-17 UE capabilities based on R1 and R4 feature lists (TS38.331) 17.1.0 RP-96 RP-221730 3014 3 F Correction of NR RRC support for MUSIM 17.1.0 RP-96 RP-221720 3021 1 B CR to TS 38.331 on Network assistant signalling for Rel-17 CRS interference mitigation 17.1.0 RP-96 RP-221724 3039 1 F Correction for NR coverage enhancements 17.1.0 RP-96 RP-221719 3040 1 F Corrections to TS 38.331 for RAN slicing 17.1.0 RP-96 RP-221715 3055 5 F RRC correction CR for 71 GHz 17.1.0 RP-96 RP-221755 3057 1 F Clarification and correction for measurement gap enhancement features 17.1.0 RP-96 RP-221713 3061 1 A Corrections on BAP entity release in MR DC release procedures in TS 38.331 17.1.0 RP-96 RP-221736 3078 2 C Distinguishing support of band n77 restrictions in Canada [n77 Canada] 17.1.0 RP-96 RP-221736 3082 1 F Extension of the time domain resource allocation indicator for CG type 1 with typeB repetition 17.1.0 RP-96 RP-221712 3084 - A Correction"
question 4918,Which entity takes precedence in determining the User Plane Security Policy? [3GPP Release 18],SMF,PGW-C,AMF,UDM,UE,option 4: UDM,The User Plane Security Policy from the UDM takes precedence over the locally configured User Plane Security Policy.,Standards specifications,4918,4,"iii)	the user plane integrity protection policy; and

iv)	the user plane ciphering policy;



5)	a network assistance security indication to indicate whether to use the security procedure with network assistance or the security procedure without network assistance as specified in clause 6.6.3.3 of 3GPP TS 33.503 [34]; and

6)	a control plane security indication to indicate whether to use the security procedure over control plane as specified in 3GPP TS 33.503 [34], if the security procedure with network assistance is to be used. If the control plane security indication indicates not to use the security procedure over control plane, the 5G ProSe end UE uses the security procedure over user plane as specified in 3GPP TS 33.503 [34];

NOTE 6:	If the control plane security indication indicates to use the security procedure over control plane and the 5G ProSe end UE doesn't support the security procedure over control plane, the 5G end UE doesn't use the corresponding relay service code."
question 4921,What does the SDP attribute 'ccc_list' allow for? [3GPP Release 14],Communication and negotiation of concurrent codec capabilities,Enforcement of priority levels,Authentication of users,Management of network resources,,option 1: Communication and negotiation of concurrent codec capabilities,The 'ccc_list' attribute allows terminals and the MRF to communicate and negotiate their concurrent codec capabilities in a compact format.,Standards specifications,4921,1,"As the ""a=ccc_list"" attribute is a compact representation of the media capabilities that are expressed in SDP, using it is not expected to introduce any additional security conditions beyond those identified for SDP.  Therefore the security considerations for the attribute are covered by the security considerations for SDP as specified in RFC 4566 [8].  There are no identified interoperability concerns for this atttibute as it is a new attribute and the values used for the codec field are well defined to use values managed by IANA.

S.5.7.3	Using the Compact CCC SDP Attribute for CCC Exchange

The SIP OPTIONS method specified in RFC 3261 is used to query the capabilities of another terminal by asking the conference participant to send a copy of the SDP it would offer."
question 4924,What is the capability of the 5G system regarding an indirect network connection when the UE is in E-UTRAN or NG-RAN coverage? [3GPP Release 17],Unable to support an indirect network connection,Able to support an indirect network connection only when the UE is in E-UTRAN coverage,Able to support an indirect network connection only when the UE is in NG-RAN coverage,Able to support an indirect network connection regardless of the type of coverage,Able to support an indirect network connection only when the UE is in 5G coverage,option 4: Able to support an indirect network connection regardless of the type of coverage,The 5G system is able to support an indirect network connection even when the UE is in E-UTRAN or NG-RAN coverage.,Standards specifications,4924,4,"3GPP TS 22.261 [2] ""The 5G system shall be able to support a UE using simultaneous indirect and direct network connection mode"" indicates that a UE can transmit simultaneously however direct network mode is between a UE and the network. The use case in sub-clause 5.4.3 has no user plane traffic (i.e. movie) going to the network. 

3GPP TS 22.261 [2] sub-clause 6.3.2.1 has the following requirements:

""Based on operator policy, the 5G system shall be able to provide simultaneous data transmission via different access technologies (e.g. NR, E-UTRA, non-3GPP), to access one or more 3GPP services.

When a UE is using two or more access technologies simultaneously, the 5G system shall be able to optimally distribute user traffic over select between access technologies in use, taking into account e.g. service, traffic characteristics, radio characteristics, and UE's moving speed."
question 4931,Which delivery option(s) are available in Data Delivery via the DCCF or NWDAF? [3GPP Release 18],Delivery via DCCF or NWDAF,Delivery via Messaging Framework,Delivery via both DCCF/NWDAF and Messaging Framework,Delivery via Ndccf services,Delivery via Nnwdaf services,option 1: Delivery via DCCF or NWDAF,"In Data Delivery via the DCCF or NWDAF, the data is delivered directly from the DCCF or NWDAF to the Consumers or Notification Endpoints.",Standards specifications,4931,1,"This procedure is used by NF service consumer(s) based on local configuration, to subscribe/unsubscribe to NWDAF analytics event(s) via the DCCF, and upon the delivery option ""Delivery via Messaging Framework "" configured on the DCCF, the 3GPP DCCF Adaptor (3da) Data Management service and 3GPP Consumer Adaptor (3ca) Data Management service of the Messaging Framework Adaptor Function (MFAF) are used to interact with the 3GPP Network and the Messaging Framework for analytics information delivery to the NF service consumer(s) subscribed notification endpoint(s).



Figure 5.2.5-1: Analytics Exposure via DCCF and Messaging Framework"
question 4933,Which physical channel carries data from a UE for sidelink communication and V2X sidelink communication? [3GPP Release 17],PSBCH,PSDCH,PSCCH,PSSCH,,option 4: PSSCH,The Physical sidelink shared channel (PSSCH) carries data from a UE for sidelink communication and V2X sidelink communication.,Standards specifications,4933,4,"V2X sidelink communication: AS functionality enabling V2X Communication as defined in TS 23.285 [56], between nearby UEs, using E-UTRA technology but not traversing any network node.

3.2	Abbreviations"
question 4946,What does NWDAF provide to consumer NF or OAM based on the collected network data? [3GPP Release 18],QoS profile,Service Experience predictions,Service data,Performance data,Service Experience statistics,option 5: Service Experience statistics,NWDAF provides Service Experience statistics based on the collected network data.,Standards specifications,4946,5,"REQ-NWDAF-DC-SERV-COUNT-1: the 3GPP management system should have the capability to allow an authorized consumer to configure the NWDAF to provide statistic information of the data collection actions initiated by the NWDAF and the corresponding result, respectively. The provided statistic information should be about how frequently the NWDAF collects data and should be able to distinct different data sources.

REQ-NWDAF-DC-SERV-COUNT-2: the 3GPP management system should have a capability to allow an authorized consumer to configure the NWDAF to provide statistic information of the periodical data collection requested by the NWDAF.



4.4.3	Potential solutions

4.4.3.1	Potential solution #1: number of subscriptions for NWDAF Data Collection 

4.4.3.1.1	Introduction

Data collection may be performed via NWDAF by using at least one of the following services from OAM, and NFs (including AFs directly or via NEF) to collect data. The services includes (see TS 23.288 [2]):"
question 4955,What does DNN stand for in the 5G System? [3GPP Release 18],Distinct Network Name,Direct Network Node,Default Network Node,Dynamic Networking Node,Data Network Name,option 5: Data Network Name,DNN stands for Data Network Name and is equivalent to an APN in the 5G System.,Standards specifications,4955,5,"""DNN"" (Optional parameter): Used for S-NSSAI/DNN based load control by SMF, see clause 6.3.3.4.4.2.2, that refers to one or more specific DNN(s). DNN format is defined in 3GPP TS 23.003 [15]."
question 4957,What is the role of mapping rules in the QoS architecture? [3GPP Release 18],To map QoS flows to DRBs,To establish PDU sessions,To differentiate GBR and non-GBR flows,To guarantee flow bit rate,,option 1: To map QoS flows to DRBs,Mapping rules are used to associate UL and DL QoS flows with DRBs.,Standards specifications,4957,1,"The mapping functions located at SMF is specified in clause 7.4. The mapping function in UE is implementation dependent and not specified within this specification.

The PCF notes and authorizes the service data flows described within this service information by mapping from service information to Authorized QoS parameters for transfer to the SMF via the N7 interface. The SMF will map from the Authorized QoS parameters to the access specific QoS parameters.

For 3GPP 5GS, the network sets up QoS flow(s) with a suitable QoS and indicates to the UE the QoS characteristics of those QoS flow(s). Therefore the flow of QoS related information will be unidirectional as indicated in the figure 7.1-1.

NOTE:	Access Specific QoS parameters with Authorized Access-Specific QoS parameters comparison.

Figure 7.1-1: QoS mapping framework"
question 4958,What is the behavior of a mobile station in the MM IDLE state with service state NO IMSI? [3GPP Release 18],Perform normal location updating when a new location area is entered,Perform default cell selection,Not perform IMSI detach if powered down,Reject any request from CM entities for MM connections except for emergency calls,Only perform periodic updating,option 2: Perform default cell selection,"In the MM IDLE state with service state NO IMSI, the mobile station performs default cell selection.",Standards specifications,4958,2,"When in state MM IDLE and service state RECEIVING GROUP CALL (LIMITED SERVICE), the mobile station shall:

not perform periodic updating;

not perform IMSI detach;

reject any requests from CM entities for MM connections except for emergency calls;

perform normal location updating when a cell is entered which may provide normal service (e.g. location area not in one of the forbidden LAI lists.);

it may respond to paging (with IMSI);



indicate notifications to the GCC or BCC sublayer for which a channel description has been received in the notification by the RR sublayer;

reject requests of the GCC or BCC sublayer to respond to notifications for which no channel description has been received in the notification by the RR sublayer;"
question 4959,What is the function of the Gateway GPRS Support Node (GGSN)? [3GPP Release 17],To provide support for interworking between a PLMN and fixed networks.,To terminate the interface towards the E-UTRAN.,To provide support for mobility between 3GPP access networks.,To provide support for the control plane entity within EPS.,To handle circuit switched services to and from mobile stations.,option 1: To provide support for interworking between a PLMN and fixed networks.,The GGSN provides the functionality necessary to allow interworking between a PLMN and fixed networks.,Standards specifications,4959,1,"The GGSN (Gateway GPRS Support Node) is the point of PDN interconnection with the GSM PLMN supporting GPRS. The GGSN contains routing information for GPRS users with a PDP context active. The necessary procedures needed to restore GGSN data information after a restart are described in this document.

The SGSN (Serving GPRS Support Node) is the node that is serving the MS. The SGSN stores information regarding e.g. mobility management, routing and security. The necessary procedures needed to restore this SGSN information after a restart are described in this document."
question 4972,What is the purpose of the uplink buffer status reports (BSR)? [3GPP Release 18],To provide support for QoS-aware packet scheduling,To allocate resources for the initial HARQ transmissions to UEs,To enable coordination of TDM and FDM cell resources between MAC in the gNB and the corresponding entity in the ng-eNB,To enable fast SCell activation when CA is configured,To provide support for power-aware packet scheduling,option 1: To provide support for QoS-aware packet scheduling,Uplink buffer status reports are needed to provide support for QoS-aware packet scheduling.,Standards specifications,4972,1,"Uplink buffer status reports (BSR) are needed to provide support for QoS-aware packet scheduling. In E-UTRAN uplink buffer status reports refer to the data that is buffered in for a group of logical channel (LCG) in the UE. Four LCGs and two formats are used for reporting in uplink:

A short format for which only one BSR (of one LCG) is reported;

A long format for which all four BSRs (of all four LCGs) are reported.

Uplink buffer status reports are transmitted using MAC signalling.

In DC, LCG is configured per CG."
question 4977,Where can additional information about the regional provision of service be found? [3GPP Release 18],3GPP TS 24.008,3GPP TS 24.301,3GPP TS 24.501,All of the above,,option 4: All of the above,"Additional information about the regional provision of service can be found in 3GPP TS 24.008, 3GPP TS 24.301, and 3GPP TS 24.501.",Standards specifications,4977,4,"8.4.3	Conclusion for from where and how UE obtains the information for accessing localized service

The information for localized service can be obtained by UE at the application layer from the home network or the localized service provider via means that are outside of 3GPP scope.

The hosting network selection information is provisioned as below:

1.	The information for hosting network, selection and access can be preconfigured in the UE or dynamically provisioned by home network (via the VPLMN when roaming) using existing mechanisms.

2.	In the case of SNPN as hosting network, the dynamic provisioning of prioritized list of hosting network information can be done via SoR:

NOTE:	How SOR-AF and/or UDM acquires hosting network information is outside the scope for 3GPP.

i.	The home network UDM may determine to update UE with prioritized list of hosting network information using SoR procedure. Following triggers may apply:

UE location as part of Registration procedure."
question 4981,Which interface is not required in the roaming architecture for interworking between 5GS and EPC? [3GPP Release 18],N26 interface,S9 interface,N9 interface,S10 interface,,option 2: S9 interface,"The S9 interface from EPC is not required for the roaming architecture, as there are no known deployments using it.",Standards specifications,4981,2,"NOTE 2:	S9 interface from EPC is not required since no known deployment exists.

NOTE 3:	N26 interface is not precluded, but it not shown in the figure because it is not required for the interworking between 5GC via non-3GPP access and EPC/E-UTRAN.

Figure 4.3.3.2-2: Home-routed roaming architecture for interworking between 5GC via non-3GPP access and EPC/E-UTRAN

NOTE 4:	N26 interface is not precluded, but it not shown in the figure because it is not required for the interworking between 5GC via non-3GPP access and EPC/E-UTRAN.

4.3.4	Interworking between ePDG connected to EPC and 5GS

4.3.4.1	Non-roaming architecture

Figure 4.3.4.1-1 represents the non-roaming architecture for interworking between ePDG/EPC and 5GS.

Figure 4.3.4.1-1: Non-roaming architecture for interworking between ePDG/EPC and 5GS

NOTE 1:	The details of the interfaces between the UE and the ePDG, and between EPC nodes (i.e. SWm, SWx, S2b and S6b), are documented in TS 23.402 [43]."
question 4992,What is the minimum requirement for OTA occupied bandwidth for each carrier? [3GPP Release 18],It must be greater than the SAN channel bandwidth.,It must be less than the SAN channel bandwidth.,It must be equal to the SAN channel bandwidth.,It must be within ±2 dB of the rated carrier TRP output power.,It must be accurate to within 0.05 ppm observed over 1 ms.,option 2: It must be less than the SAN channel bandwidth.,The OTA occupied bandwidth for each carrier shall be less than the SAN channel bandwidth.,Standards specifications,4992,2,"The OTA occupied bandwidth requirement applies during the transmitter ON period for a single transmitted carrier. The minimum requirement below may be applied regionally. There may also be regional requirements to declare the OTA occupied bandwidth according to the definition in the present clause.

The OTA occupied bandwidth is defined as a single direction requirement and shall be met in the manufacturer's declared OTA coverage range at the RIB.



9.7.2.2	Minimum requirement for MSR operation

For AAS BS in MSR operation, the minimum requirement for OTA occupied bandwidth is the same as that stated in 3GPP TS 37.104 [9], subclause 6.6.3.

9.7.2.3	Minimum requirement for single RAT UTRA operation"
question 5001,What is the purpose of mutual ranging in the 5G system? [3GPP Release 17],To enable roaming UEs to perform ranging.,To determine if another ranging enabled UE is stationary or mobile.,To start and stop ranging according to the application layer demand.,To enable two UEs to initiate ranging to each other.,,option 4: To enable two UEs to initiate ranging to each other.,Mutual ranging allows two UEs to initiate ranging to each other.,Standards specifications,5001,4,"[CPR-3] The 5G system shall be able to protect privacy of a UE and its user, ensuring that no identifiable information can be tracked by undesired entities during Ranging.

[CPR-4] The 5G system shall be able to enable or disable Ranging.

[CPR-5] The 5G system shall support mutual Ranging, i.e. two UEs shall be able to initiate Ranging to each other.

[CPR-6] The 5G system shall be able to ensure that the use of Ranging, if in licensed spectrum, is only permitted in network coverage under the full control of the operator who provides the coverage.

[CPR-7] The 5G system shall support energy efficient Ranging operation.

[CPR-8] The 5G system shall be able to start ranging and stop ranging according to the application layer’s demand.

[CPR-9] The 5G system shall be able to provide mechanisms for a MNO, or authorized 3rd party, to provision and manage ranging operation and configurations."
question 5003,Which state exists when the network has received an answer but the network has not yet awarded the call? [3GPP Release 18],Connect request (N8),Mobile terminating call confirmed (N9),Active (N10),Disconnect indication (N12),,option 1: Connect request (N8),The Connect request (N8) state exists when the network has received an answer but the network has not yet awarded the call.,Standards specifications,5003,1,"This state exists for a mobile originating call when the network has sent acknowledgement that the network has received all call information necessary to effect call establishment.

5.1.2.2.5	Call delivered (N4)

This state exists for a mobile originating call when the network has indicated that remote user alerting has been initiated.

5.1.2.2.6	Call present (N6)

This state exists for a mobile terminating call when the network has sent a call establishment request but has not yet received a satisfactory response.



5.1.2.2.7	Call received (N7)

This state exists for a mobile terminating call when the network has received an indication that the mobile station is alerting but has not yet received an answer.

5.1.2.2.8	Connect request (N8)

This state exists for a mobile terminating call when the network has received an answer but the network has not yet awarded the call.

5.1.2.2.9	Mobile terminating call confirmed (N9)"
